Reference;Quantity;Value;Footprint;Datasheet;Manufacturer;MPN;SKU;Res;Tol;Pwr;C;Vmax;Type;Color
R28 R30 ;2;ERJ-8CWFR030V;Main:RESC1206;;Panasonic Electronic Components;ERJ-8CWFR030V;GENERIC;0.03 Ω;±1%;1 W;;;;
R29 R31 ;2;RC0603FR-070RL;Main:RESC0603;;Yageo;RC0603FR-070RL;GENERIC;0.00 Ω;±1%;100 mW;;;;
R32 R33 R34 R35 R36 R37 ;6;RC0603FR-077R5L;Main:RESC0603;;Yageo;RC0603FR-077R5L;GENERIC;7.50 Ω;±1%;100 mW;;;;
R23 R26 R39 R70 ;4;RC0603FR-0766K5L;Main:RESC0603;;Yageo;RC0603FR-0766K5L;GENERIC;66.5 kΩ;±1%;100 mW;;;;
R27 R38 R6 ;3;RC0603FR-072K21L;Main:RESC0603;;Yageo;RC0603FR-072K21L;GENERIC;2.21 kΩ;±1%;100 mW;;;;
R13 R17 R18 R19 R20 R21 R22 R67 R69 R7 ;10;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;GENERIC;10.0 kΩ;±1%;100 mW;;;;
R8 ;1;RC0603FR-0727K4L;Main:RESC0603;;Yageo;RC0603FR-0727K4L;GENERIC;27.4 kΩ;±1%;100 mW;;;;
R9 ;1;RC0603FR-076K04L;Main:RESC0603;;Yageo;RC0603FR-076K04L;GENERIC;6.04 kΩ;±1%;100 mW;;;;
S1 S2 S3 ;3;SPST_PUSHBTN;Main:SPST_PUSHBTN;;TE Connectivity Alcoswitch Switches;3-1825910-5;STUFF;;;;;;;
TP1 ;1;TestPoint;Main:TestPoint000;
U1 ;1;LPC1769FBD100,551;Main:QFP50P1400X1400X160-100;;NXP Semiconductors;LPC1769FBD100,551;STUFF;;;;;;;
U2 ;1;AP3418;Main:SOT095P300X150X145-5;;Diodes Incorporated;AP3418KTR-G1;STUFF;;;;;;;
U20 ;1;M24C08-FDW6TP;Main:SOP65P440X300X120-8;;STMicroelectronics;M24C08-FDW6TP;STUFF;;;;;;;
U3 ;1;BD9E302EFJ-E2;Main:SOP127P490X390X100-8NT320X240;;Rohm Semiconductor;BD9E302EFJ-E2;STUFF;;;;;;;
U4 ;1;INA3221AIRGVR;Main:QFN65P400X400X90-16NT210X210;;Texas Instruments;INA3221AIRGVR;STUFF;;;;;;;
U5 ;1;LM5060MM/NOPB;Main:SOP50P300X300X100-10;;Texas Instruments;LM5060MM/NOPB;STUFF;;;;;;;
Y1 ;1;XTAL4_12MHz;Main:XTAL320X250X100;;Abracon LLC;ABM8G-12.000MHZ-4Y-T3;STUFF;;;;;;;
