sep=;
Reference; Value; Footprint; Datasheet; Manufacturer; MPN; SKU; Res; Tol; Pwr; C; Vmax; Type
J06;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J09;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J12;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J04;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J07;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J10;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J02;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J05;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J08;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J11;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J13;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J14;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J15;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J01;PCIESOCKET-X1;Main:PCIESOCKET-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
U2;AP3418;Main:SOT095P300X150X145-5;;Diodes Incorporated;AP3418KTR-G1;STUFF;;;;;;
L1;INDUCTOR_SRN4026-2R2Y;Main:INDP400400X250;;Bourns Inc.;SRN4026-2R2Y;STUFF;;;;;;
U3;BD9E302EFJ-E2;Main:SOP127P490X390X100-8NT320X240;;Rohm Semiconductor;BD9E302EFJ-E2;STUFF;;;;;;
L3;INDUCTOR_SRN6045TA-4R7M;Main:INDP600600X420;;Bourns Inc.;SRN6045TA-4R7M;STUFF;;;;;;
R9;RC0603FR-076K04L;Main:RESC0603;;Yageo;RC0603FR-076K04L;STUFF;6.04 kΩ;±1%;100 mW;;;
R8;RC0603FR-0727K4L;Main:RESC0603;;Yageo;RC0603FR-0727K4L;STUFF;27.4 kΩ;±1%;100 mW;;;
R29;RC0603FR-070RL;Main:RESC0603;;Yageo;RC0603FR-070RL;STUFF;0.00 Ω;±1%;100 mW;;;
C2;CC0805MKX5R5BB226;Main:CAPC0805;;Yageo;CC0805MKX5R5BB226;STUFF;;±20%;;22.0 µF;6.3V;X5R
C3;CC0805MKX5R5BB226;Main:CAPC0805;;Yageo;CC0805MKX5R5BB226;STUFF;;±20%;;22.0 µF;6.3V;X5R
C1;CC0603KRX5R5BB475;Main:CAPC0603;;Yageo;CC0603KRX5R5BB475;STUFF;;±10%;;4.70 µF;6.3V;X5R
C13;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
C17;CC0603KRX7R9BB682;Main:CAPC0603;;Yageo;CC0603KRX7R9BB682;STUFF;;±10%;;6.80 nF;50.0V;X7R
R13;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
C19;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
C14;CL21A475KLCLQNC;Main:CAPC0805;;Samsung Electro-Mechanics America, Inc.;CL21A475KLCLQNC;STUFF;;±10%;;4.70 µF;35V;X5R
C20;CC0805MKX5R5BB226;Main:CAPC0805;;Yageo;CC0805MKX5R5BB226;STUFF;;±20%;;22.0 µF;6.3V;X5R
C21;CC0805MKX5R5BB226;Main:CAPC0805;;Yageo;CC0805MKX5R5BB226;STUFF;;±20%;;22.0 µF;6.3V;X5R
R31;RC0603FR-070RL;Main:RESC0603;;Yageo;RC0603FR-070RL;STUFF;0.00 Ω;±1%;100 mW;;;
R15;RC0603FR-079K76L;Main:RESC0603;;Yageo;RC0603FR-079K76L;STUFF;9.76 kΩ;±1%;100 mW;;;
R14;RC0603FR-0751K1L;Main:RESC0603;;Yageo;RC0603FR-0751K1L;STUFF;51.1 kΩ;±1%;100 mW;;;
R28;ERJ-8CWFR030V;Main:RESC1206;;Panasonic Electronic Components;ERJ-8CWFR030V;STUFF;0.03 Ω;±1%;1 W;;;
